Name,2020,2021,2022,2023,2024,latitude,longitude
Alabama,5033094,5049196,5076181,5117673,5157699,33.2588817,-86.8295337
Alaska,733017,734420,734442,736510,740133,65.55396,-150.38086
Arizona,7187135,7274078,7377566,7473027,7582384,34.395342,-111.763275
Arkansas,3014546,3026870,3047704,3069463,3088354,35.2048883,-92.4479108
California,39521958,39142565,39142414,39198693,39431263,37.03892,-119.61915
Colorado,5787129,5814036,5850935,5901339,5957493,39.06948,-105.0293
Connecticut,3579918,3606607,3617925,3643023,3675069,41.6500201,-72.7342163
Delaware,991928,1005062,1020625,1036423,1051917,38.6920451,-75.4013315
District of Columbia,670917,669256,676725,687324,702250,38.8938474,-76.9880428
Florida,21592035,21831949,22379312,22904868,23372215,28.11532,-81.5918
Georgia,10732888,10792060,10931805,11064432,11180878,32.3293809,-83.1137366
Hawaii,1451252,1447029,1440359,1441387,1446146,19.71338,-155.41993
Idaho,1849415,1904848,1944299,1971122,2001619,43.89606,-114.34571
Illinois,12799088,12700641,12621821,12642259,12710158,40.0796606,-89.4337288
Indiana,6790497,6815907,6844545,6880131,6924275,40.3270127,-86.1746933
Iowa,3191141,3198613,3202820,3218414,3241488,42.00864,-93.48634
Kansas,2938172,2938338,2937324,2951500,2970606,38.27312,-98.5821872
Kentucky,4508318,4507583,4519233,4550595,4588372,37.64471,-84.58009
Louisiana,4652301,4627971,4593687,4588071,4597740,30.8703881,-92.007126
Maine,1364571,1378931,1390922,1399646,1405012,45.06696,-69.11134
Maryland,6177935,6179403,6192440,6217062,6263220,39.5162401,-76.9382069
Massachusetts,6994598,7000474,7022468,7066568,7136171,42.3788774,-72.032366
Michigan,10072703,10041351,10050877,10083356,10140459,43.08814,-84.52149
Minnesota,5710735,5718660,5721621,5753048,5793151,45.47944,-94.36524
Mississippi,2958536,2947209,2941939,2943172,2943045,32.36725,-89.61915
Missouri,6154744,6171374,6179414,6208038,6245466,38.7604815,-92.5617875
Montana,1087230,1106522,1122095,1131302,1137233,46.57818,-109.18946
Nebraska,1963387,1964537,1972246,1987864,2005465,41.7370229,-99.5873816
Nevada,3116967,3148141,3176116,3214363,3267467,39.5158825,-116.853722
New Hampshire,1378756,1387677,1396678,1402199,1409032,43.4849133,-71.6553992
New Jersey,9272794,9270541,9295227,9379642,9500851,40.0757384,-74.4041622
New Mexico,2118606,2117333,2113868,2121164,2130256,34.5802074,-105.996047
New York,20105171,19848276,19703747,19737367,19867248,40.7127281,-74.0060152
North Carolina,10449652,10564320,10710793,10881189,11046024,35.6729639,-79.0392919
North Dakota,779563,777966,781057,789047,796568,47.6201461,-100.540737
Ohio,11798905,11767344,11777874,11824034,11883304,40.2253569,-82.6881395
Oklahoma,3965415,3992238,4026229,4063882,4095393,34.9550817,-97.2684063
Oregon,4243779,4254280,4247372,4253653,4272371,43.9792797,-120.737257
Pennsylvania,12996143,13015571,12984990,13017721,13078751,40.9699889,-77.7278831
Rhode Island,1096530,1097246,1099498,1103429,1112308,41.7962409,-71.5992372
South Carolina,5132249,5194274,5287935,5387830,5478831,33.6874388,-80.4363743
South Dakota,887948,896492,909723,918305,924669,44.6471761,-100.348761
Tennessee,6927904,6965740,7062217,7148304,7227750,35.7730076,-86.2820081
Texas,29239570,29570351,30113488,30727890,31290831,31.42173,-98.64258
Utah,3284077,3339738,3391011,3443222,3503613,39.4225192,-111.714358
Vermont,642977,647210,648142,648708,648493,44.5990718,-72.5002608
Virginia,8637615,8658910,8683414,8734685,8811195,37.1232245,-78.4927721
Washington,7727209,7743760,7794123,7857320,7958180,38.8950368,-77.0365427
West Virginia,1791646,1785618,1774122,1770495,1769979,38.4758406,-80.8408415
Wisconsin,5897375,5881608,5903975,5930405,5960975,44.31694,-89.50195
Wyoming,577681,579636,581978,585067,587618,43.1700264,-107.568534
